診療,medical treatment,シンリョウ
残念な,unfortunate (adj),ザンネンナ
残念,unfortunately,ザンネン
流れる,to flow (verb),ナガレル
本来,originally,ホンライ
つもり,intention,ツモリ
食品,food,ショクヒン
予防,prevention,ヨボウ
認識,recognition,ニンシキ
小学校,elementary school,ショウガッコウ
生物,organism,セイブツ
監督,director,カントク
支える,to support (verb),ツカエル
建設,construction,ケンセツ
明るい,bright (adj),アカルイ
むしろ,rather,ムシロ
横,side,ヨコ
記録,record,キロク
事情,circumstances,ジジョウ
番組,program,バングミ
側,side,ガワ
努める,to endeavor (verb),ツトメル
記憶,memory,キオク
しばらく,for a while,シバラク
ふだん,usually,フダン
言語,language,ゴンゴ
名,name,ナ
ネットワーク,network,ネットワーク
職場,workplace,ショクバ
実現,realization,ジツゲン
わが国,our country,ワガクニ
元,yuan (currency),ガン
絵,picture,エ
製造,manufacturing,セイゾウ
寝る,to sleep (verb),ネル
未来,future,ミライ
現地,actual place,ゲンチ
安心する,to feel relieved (verb),アンシンスル
資本,capital,シホン
嫌な,disliked (adj),イヤナ
嫌,dislike,イヤ
味,taste,アジ
設ける,to establish (verb),モウケル
受験,exam,ジュケン
資源,resource,シゲン
関心,interest,カンシン
なんと,what,ナント
古い,old (adj),フルイ
構成,composition,コウセイ
反応,reaction,ハンノウ
ある程度,to some extent,アルテイド
反対,opposition,ハンタイ
制限,restriction,セイゲン
差,difference,サ
人物,personality,ジンブツ
悩む,to worry (verb),ナヤム
相談する,to consult (verb),ソウダンスル
好きな,favorite (adj),スキナ
好き,like,スキ
植物,plant,ショクブツ
便利な,convenient (adj),ベンリナ
便利,convenience,ベンリ
スポーツ,sports,スポーツ
地,ground,チ
選挙,election,センキョ
推進,promotion,スイシン
ころ,about,コロ
払う,to pay (verb),ハラウ
ちゃんと,properly,チャント
種,kind,シュ
決定する,to decide (verb),ケッテイスル
ホテル,hotel,ホテル
連携,cooperation,レンケイ
一度,once,イチド
おそらく,probably,オソラク
扱う,to handle (verb),アツカウ
主に,mainly,オモニ
胸,chest,ムネ
運用,operation,ウンヨウ
自信,self-confidence,ジシン
企画,plan,キカク
発電,power generation,ハツデン
内部,inside,ナイブ
著作,writing,チョサク
弱い,weak (adj),ヨワイ
広告,advertisement,コウコク
きわめて,extremely,キワメテ
規制,regulation,キセイ
一人,one person,ヒトリ
周囲,surroundings,シュウイ
自宅,one's home,ジタク
はっきり,clearly,ハッキリ
開始,start,カイシ
ボタン,button,ボタン
過程,process,カテイ
楽しみ,enjoyment,タノシミ
どうしても,by all means,ドウシテモ
母親,mother,ハハオヤ
夫婦,married couple,フウフ
コメント,comment,コメント
あらかじめ,in advance,アラカジメ
優れる,to excel (verb),スグレル
損害,damage,ソンガイ
やめる,to quit (verb),ヤメル
辛い,painful (adj),ツライ
空気,air,クウキ
果たす,to fulfill (verb),ハタス
機器,device,キキ
出会う,to meet (verb),デアウ
痛い,painful (adj),イタイ
再び,again,フタタビ
お互い,each other,オタガイ
人口,population,ジンコウ
装置,equipment,ソウチ
たび,time,タビ
民間,private,ミンカン
各種,various,カクシュ
かって,once,カツテ
まいる,to come/go (humble verb),マイル
きっと,surely,キット
そういった,such,ソウイッタ
渡る,to cross (verb),ワタル
撮影,photography,サツエイ
映像,video,エイゾウ
公園,park,コウエン
毎年,every year,マイトシ
背景,background,ハイケイ
クラス,class,クラス
改めて,anew,アラタメテ
集団,group,シュウダン
保証,guarantee,ホショウ
検索,search,ケンサク
認識する,to recognize (verb),ニンシキスル
就職,employment,シュウショク
受け入れる,to accept (verb),ウケイレル
補助,assistance,ホジョ
取得,acquisition,シュトク
世代,generation,セダイ
性格,personality,セイカク
標準,standard,ヒョウジュン
訪れる,to visit (verb),オトズレル
心配,worry,シンパイ
ガス,gas,ガス
街,town,マチ
保障,security,ホショウ
訓練,training,クンレン
会,meeting,カイ
船,ship,フネ
不思議な,mysterious (adj),フシギナ
不思議,mystery,フシギ
領域,domain,リョウイキ
競争,competition,キョウソウ
サイズ,size,サイズ
魚,fish,サカナ
あくまで,to the end,アクマデ
死,death,シ
遅い,slow (adj),オソイ
掲げる,to raise (verb),カカゲル
そうした,such,ソウシタ
喜ぶ,to be glad (verb),ヨロコブ
ゆっくり,slowly,ユックリ
認定,certification,ニンテイ
終了,completion,シュウリョウ
許可,permission,キョカ
客,guest,キャク
１つ,one,ヒトツ
ルール,rule,ルール
社長,company president,シャチョウ
議員,assembly member,ギイン
教室,classroom,キョウシツ
機械,machine,キカイ
派遣,dispatch,ハケン
方式,method,ホウシキ
願う,to wish (verb),ネガウ
血,blood,チ
大会,tournament,タイカイ
クリックする,to click (verb),クリックスル
宗教,religion,シュウキョウ
実践,practice,ジッセン
猫,cat,ネコ
居る,to be (verb - animate),イル
発表する,to announce (verb),ハッピョウスル
当たり前な,natural (adj),アタリマエナ
当たり前,naturally,アタリマエ
首,neck,クビ
取れる,to be able to take (verb),トレル
一生,whole life,イッショウ
野菜,vegetable,ヤサイ
息子,son,ムスコ
相続,inheritance,ソウゾク
ソフトな,soft (adj),ソフトナ
ソフト,software,ソフト
部門,division,ブモン
不足,shortage,フソク
濃い,thick (adj),コイ
解決する,to solve (verb),カイケツスル
疾患,disease,シッカン
数字,numeral,スウジ
通う,to commute (verb),カヨウ
金利,interest rate,キンリ
提案,proposal,テイアン
あらゆる,all,アラユル
貼る,to paste (verb),ハル
筋肉,muscle,キンニク
許す,to forgive (verb),ユルス
独自な,unique (adj),ドクジナ
独自,originality,ドクジ
規則,rule,キソク
赤ちゃん,baby,アカチャン
大量な,large (adj),タイリョウナ
大量,large quantity,タイリョウ
協会,association,キョウカイ
経る,to pass through (verb),ヘル
放送,broadcast,ホウソウ
弁護士,lawyer,ベンゴシ
増やす,to increase (verb),フヤス
初期,initial stage,ショキ
伝わる,to be transmitted (verb),ツタワル
教師,teacher,キョウシ
観点,point of view,カンテン
確保,securement,カクホ
操作,operation,ソウサ
肌,skin,ハダ
協議,conference,キョウギ
手法,technique,シュホウ
活用,utilization,カツヨウ
たくさん,many,タクサン
東,east,ヒガシ
愛する,to love (verb),アイスル
弊社,our company,ヘイシャ
意識する,to be aware (verb),イシキスル
取り扱い,handling,トリアツカイ
怖い,scary (adj),コワイ
登録する,to register (verb),トウロクスル
導入,introduction,ドウニュウ
習慣,habit,シュウカン
表現する,to express (verb),ヒョウゲンスル
当初,initially,トウショ
たぶん,perhaps,タブン
防止,prevention,ボウシ
通る,to pass (verb),トオル
いかに,how,イカニ
材料,material,ザイリョウ
気分,mood,キブン
伝統,tradition,デントウ
形式,form,ケイシキ
聞こえる,to be heard (verb),キコエル
継続,continuation,ケイゾク
会話,conversation,カイワ
要因,factor,ヨウイン
後ろ,back,ハイゴ
メッセージ,message,メッセージ
チェック,check,チェック
前提,premise,ゼンテイ
比較的,comparatively,ヒカクテキ
維持,maintenance,イジ
物語,tale,モノガタリ
抱える,to hold (verb),カカエル
事例,example,ジレイ
借りる,to borrow (verb),カリル
採用する,to adopt (verb),サイヨウスル
展開する,to develop (verb),テンカイスル
改善する,to improve (verb),カイゼンスル
再生,reproduction,サイセイ
危機,crisis,キキ
意思,intention,イシ
発表,announcement,ハッピョウ
動かす,to move (verb),ウゴカス
理事,director,リジ
化学,chemistry,カガク
ごみ,trash,ゴミ
神社,shrine,ジンジャ
高度な,advanced (adj),コウドナ
高度,altitude,コウド
わずか,only,ワズカ
活性,activity,カッセイ
口座,account,コウザ
専用,exclusive use,センヨウ
成長する,to grow (verb),セイチョウスル
品質,quality,ヒンシツ
店舗,store,テンポ
比較する,to compare (verb),ヒカクスル
職業,occupation,ショクギョウ
可愛い,cute (adj),カワイイ
指摘する,to point out (verb),シテキスル
望む,to hope (verb),ノゾム
該当する,to apply (verb),ガイトウスル
おっしゃる,to say (honorific verb),オッシャル
従業,employment,ジュウギョウ
きっかけ,opportunity,キッカケ
確保する,to secure (verb),カクホスル
取得する,to acquire (verb),シュトクスル
展開,development,テンカイ
思い出す,to remember (verb),オモイダス
満足,satisfaction,マンゾク
もたらす,to bring (verb),モタラス
気軽な,casual (adj),キガルナ
気軽,lightheartedness,キガル
財政,finance,ザイセイ
開発する,to develop (verb),カイハツスル
アドバイス,advice,アドバイス
案内,guidance,アンナイ
受け取る,to receive (verb),ウケトル
導入する,to introduce (verb),ドウニュウスル
改正,revision,カイセイ
雨,rain,アメ
適用する,to apply (verb),テキヨウスル
感染,infection,カンセン
顧客,customer,コキャク
サポート,support,サポート
なさる,to do (honorific verb),ナサル
遊ぶ,to play (verb),アソブ
表面,surface,ヒョウメン
市,city,イチ
ひどい,terrible (adj),ヒドイ
まだまだ,still,マダマダ
考慮する,to consider (verb),コウリョスル
愛,love,アイ
川,river,カワ
プラン,plan,プラン
下がる,to lower (verb),サガル
開始する,to start (verb),カイシスル
依頼,request,イライ
どうして,why,ドウシテ
同士,fellow,ドウシ
お母さん,mother,オカアサン
満たす,to satisfy (verb),ミタス
メニュー,menu,メニュー
温度,temperature,オンド
被災,disaster,ヒサイ
ローン,loan,ローン
開ける,to open (verb),アケル
自転車,bicycle,ジテンシャ
登場する,to appear (verb),トウジョウスル
係る,to concern (verb),カカル
設置,installation,セッチ
警察,police,ケイサツ
いくつか,several,イクツカ
発見する,to discover (verb),ハッケンスル
わが,our,ワガ
回る,to turn (verb),マワル
移動する,to move (verb),イドウスル
冬,winter,フユ
成功する,to succeed (verb),セイコウスル
撮る,to take (photo) (verb),トル
教授,professor,キョウジュ
瞬間,moment,シュンカン
所有,ownership,ショユウ
政権,administration,セイケン
ボランティア,volunteer,ボランティア
駅,station,エキ
同じな,same (adj),オナジナ
並ぶ,to line up (verb),ナラブ
理想,ideal,リソウ
講座,course,コウザ
細かい,detailed (adj),コマカイ
厚生,public welfare,コウセイ
電力,electric power,デンリョク
捨てる,to throw away (verb),ステル
拡大,expansion,カクダイ
血液,blood,ケツエキ
入院,hospitalization,ニュウイン
笑う,to laugh (verb),ワラウ
両親,parents,リョウシン
カメラ,camera,カメラ
一方,on the other hand,イッポウ
丁寧な,polite (adj),テイネイナ
丁寧,politeness,テイネイ
特殊な,special (adj),トクシュナ
特殊,specialty,トクシュ
笑顔,smile,エガオ
見つかる,to be found (verb),ミツカル
丸,circle,マル
作用,effect,サヨウ
慣れる,to get used (verb),ナレル
遠い,far (adj),トオイ
構成する,to constitute (verb),コウセイスル
会場,venue,カイジョウ
あまりに,too much,アマリニ
複雑な,complex (adj),フクザツナ
複雑,complexity,フクザツ
証拠,evidence,ショウコ
メリット,merit,メリット
共に,together,トモニ
昨日,yesterday,キノウ
土,soil,ツチ
単純な,simple (adj),タンジュンナ
単純,simplicity,タンジュン
幅,width,ハバ
駐車,parking,チュウシャ
概念,concept,ガイネン
勝手な,selfish (adj),カッテナ
勝手,selfishness,カッテ
トラブル,trouble,トラブル
ケア,care,ケア
年間,yearly,ネンカン
素材,material,ソザイ
裏,back,ウラ
とりあえず,for now,トリアエズ
是非,by all means,ゼヒ
主な,main (adj),オモナ
主,main,オモ
発言,statement,ハツゲン
話題,topic,ワダイ
半分,half,ハンブン
遊び,play,アソビ
ちょうど,just,チョウド
春,spring,ハル
感謝,gratitude,カンシャ
成功,success,セイコウ
育成,development,イクセイ
ニーズ,need,ニーズ
取り上げる,to pick up (verb),トリアゲル
把握する,to grasp (verb),ハアクスル
医学,medical science,イガク
場面,scene,バメン
もう少し,a little more,モウスコシ
条例,ordinance,ジョウレイ
犯罪,crime,ハンザイ
温泉,hot spring,オンセン
真,truth,シン
表す,to express (verb),アラワス
報告する,to report (verb),ホウコクスル
黒,black,クロ
科目,subject,カモク
激しい,intense (adj),ハゲシイ
村,village,ムラ
形態,form,ケイタイ
会計,accounting,カイケイ
前回,previous time,ゼンカイ
従う,to obey (verb),シタガウ
採用,adoption,サイヨウ
流す,to flow (verb),ナガス
成分,ingredient,セイブン
クラブ,club,クラブ
問う,to ask (verb),トウ
事態,situation,ジタイ
態度,attitude,タイド
妊娠,pregnancy,ニンシン
更新,renewal,コウシン
共通,common,キョウツウ
物件,property,ブッケン
突然,suddenly,トツゼン
規定する,to regulate (verb),キテイスル
マンション,condominium,マンション
単に,simply,タンニ
防ぐ,to prevent (verb),フセグ
無駄な,wasteful (adj),ムダナ
無駄,waste,ムダ
負う,to bear (verb),オウ
話する,to talk (verb),ハナシスル
旨,purpose,ムネ
消える,to disappear (verb),キエル
保つ,to maintain (verb),タモツ
パターン,pattern,パターン
代わり,substitute,カワリ
恐れ,fear,オソレ
奴,guy,ヤツ
思想,thought,シソウ
明日,tomorrow,アス
勤務,employment,キンム
登る,to climb (verb),ノボル
交渉,negotiation,コウショウ
抑える,to suppress (verb),オサエル
論文,thesis,ロンブン
テスト,test,テスト
育つ,to grow up (verb),ソダツ
全然,not at all,ゼンゼン
占める,to occupy (verb),シメル
暮らす,to live (verb),クラス
歌,song,ウタ
狭い,narrow (adj),セマイ
外部,external,ガイブ
地図,map,チズ
増加する,to increase (verb),ゾウカスル
赤,red,アカ
次に,next,ツギニ
結ぶ,to tie (verb),ムスブ
株式会社,corporation,カブシキガイシャ
先輩,senior,センパイ
父親,father,チチオヤ
世の中,world,ヨノナカ
放射線,radiation,ホウシャセン
増加,increase,ゾウカ
意味する,to mean (verb),イミスル
やや,somewhat,ヤヤ
入力する,to input (verb),ニュウリョクスル
アクセス,access,アクセス
栄養,nutrition,エイヨウ
別に,separately,ベツニ
コンピューター,computer,コンピューター
戦う,to fight (verb),タタカウ
北,north,キタ
重ねる,to pile (verb),カサネル
楽な,easy (adj),ラクナ
楽,ease,ラク
食,food,ショク
思考,thinking,シコウ
中小,small and medium,チュウショウ
維持する,to maintain (verb),イジスル
穴,hole,アナ
実績,achievement,ジッセキ
あり方,way of being,アリカタ
見なす,to regard (verb),ミナス
悩み,worry,ナヤミ
ゆく,to go (verb),ユク
手数料,fee,テスウリョウ
窓口,counter,マドグチ
役立つ,to be useful (verb),ヤクダツ
販売する,to sell (verb),ハンバイスル
固定,fixed,コテイ
メディア,media,メディア
皮膚,skin,ヒフ
処分,disposal,ショブン
抱く,to embrace (verb),ダク
回復,recovery,カイフク
文書,document,モンショ
最新,latest,サイシン
スタイル,style,スタイル
それほど,that much,ソレホド
南,south,ミナミ
会長,chairman,カイチョウ
主人,master,シュジン
運ぶ,to carry (verb),ハコブ
呼吸,breathing,コキュウ
充実する,to enrich (verb),ジュウジツスル
シーン,scene,シーン
数値,numerical value,スウチ
緊急な,urgent (adj),キンキュウナ
緊急,emergency,キンキュウ
不明な,unknown (adj),フメイナ
不明,unknown,フメイ
サーバー,server,サーバー
核,nucleus,カク
旅,travel,タビ
小説,novel,ショウセツ
少なくとも,at least,スクナクトモ
公開,publication,コウカイ
秋,autumn,アキ
雪,snow,ユキ
第三者,third party,ダイサンシャ
新規な,new (adj),シンキナ
新規,new,シンキ
熱,heat,ネツ
着る,to wear (verb),キル
ファン,fan,ファン
前後,before and after,ゼンゴ
市町村,municipality,シチョウソン
いくつ,how many,イクツ
いらっしゃる,to come/go (honorific verb),イラッシャル
近年,recent years,キンネン
結婚する,to marry (verb),ケッコンスル
推進する,to promote (verb),スイシンスル
卒業,graduation,ソツギョウ
賃金,wages,チンギン
越える,to exceed (verb),コエル
合格,passing,ゴウカク
まつ,to wait (verb),マツ
注目する,to focus on (verb),チュウモクスル
骨,bone,ホネ
機構,organization,キコウ
お薦め,recommendation,オススメ
席,seat,セキ
喜び,joy,ヨロコビ
表,front,オモテ
いったい,what on earth,イッタイ
管理する,to manage (verb),カンリスル
二,two,ニ
要望,request,ヨウボウ
落とす,to drop (verb),オトス
主張する,to insist (verb),シュチョウスル
楽しめる,to be enjoyable (verb),タノシメル
指示,instruction,シジ
雑誌,magazine,ザッシ
追加,addition,ツイカ
備える,to prepare (verb),ソナエル
火,fire,ヒ
自治体,municipality,ジチタイ
売り上げ,sales,ウリアゲ
応じる,to respond (verb),オウジル
幅広い,wide (adj),ハバヒロイ
適用,application,テキヨウ
白い,white (adj),シロイ
保育,childcare,ホイク
間違う,to make a mistake (verb),マチガウ
寒い,cold (adj),サムイ
加入,joining,カニュウ
殺す,to kill (verb),コロス
午後,afternoon,ゴゴ
曲,tune,キョク
両方,both,リョウホウ
使い,use,ツカイ
貴重な,precious (adj),キチョウナ
貴重,value,キチョウ
いくら,how much,イクラ
広げる,to spread (verb),ヒロゲル
公開する,to make public (verb),コウカイスル
できるだけ,as much as possible,デキルダケ
主体,main body,シュタイ
以来,since,イライ
トイレ,toilet,トイレ
最適な,optimal (adj),サイテキナ
最適,optimum,サイテキ
削減,reduction,サクゲン
高まる,to rise (verb),タカマル
何らかの,some,ナンラカノ
人類,humanity,ジンルイ
訪問,visit,ホウモン
奥,interior,オク
少年,boy,ショウネン
ベース,base,ベース
円,yen,エン
多少,somewhat,タショウ
座る,to sit (verb),スワル
経験する,to experience (verb),ケイケンスル
測定,measurement,ソクテイ
アップ,up,アップ
編集,editing,ヘンシュウ
受け付け,reception,ウケツケ
問い,question,トイ
整理,organization,セイリ
経つ,to pass (verb),タツ
よる,night,ヨル
憲法,constitution,ケンポウ
生み出す,to produce (verb),ウミダス
おかしい,strange (adj),オカシイ
発見,discovery,ハッケン
余裕,leeway,ヨユウ
役,role,ヤク
安定する,to stabilize (verb),アンテイスル
戦い,fight,タタカイ
入力,input,ニュウリョク
太陽,sun,タイヨウ
比較,comparison,ヒカク
遺伝子,gene,イデンシ
協力する,to cooperate (verb),キョウリョクスル
希望する,to hope (verb),キボウスル
ニュース,news,ニュース
男女,men and women,ダンジョ
強化,strengthening,キョウカ
保健,health,ホケン
都合,convenience,ツゴウ
近づく,to approach (verb),チカヅク
マイナス,minus,マイナス
面接,interview,メンセツ
当日,on the day,トウジツ
舞台,stage,ブタイ
チェックする,to check (verb),チェックスル
株,stock,カブ
捉える,to capture (verb),トラエル
担当する,to be in charge (verb),タントウスル
豊富な,abundant (adj),ホウフナ
豊富,abundance,ホウフ
了承,consent,リョウショウ
教員,teacher,キョウイン
ライン,line,ライン
通じる,to communicate (verb),ツウジル
担う,to bear (verb),ニナウ
速度,speed,ソクド
子育て,child-rearing,コソダテ
支援する,to support (verb),シエンスル
一言,one word,ヒトコト
参照,reference,サンショウ
需要,demand,ジュヨウ
次第,depending on,シダイ
民族,ethnic group,ミンゾク
結論,conclusion,ケツロン
実態,reality,ジッタイ
プロセス,process,プロセス
薄い,thin (adj),ウスイ
抜ける,to come out (verb),ヌケル
スピード,speed,スピード
画,picture,エ
脂肪,fat,シボウ
関連する,to relate (verb),カンレンスル
取り入れる,to incorporate (verb),トリイレル
水準,standard,スイジュン
スキル,skill,スキル
季節,season,キセツ
芸術,art,ゲイジュツ
鳥,bird,トリ
給付,benefit,キュウフ
若者,youth,ワカモノ
制作,production,セイサク
想像,imagination,ソウゾウ
発行,publication,ハッコウ
臨床,clinical,リンショウ
特性,characteristic,トクセイ
落ち着く,to calm down (verb),オチツク
まるで,as if,マルデ
独立,independence,ドクリツ
窓,window,マド
発展する,to develop (verb),ハッテンスル
各地,various regions,カクチ
ますます,increasingly,マスマス
開催,holding,カイサイ
せい,consequence,セイ
緑,green,ミドリ
及ぶ,to reach (verb),オヨブ
心がける,to keep in mind (verb),ココロガケル
ウマ,horse,ウマ
指摘,pointing out,シテキ
終了する,to end (verb),シュウリョウスル
渡す,to hand over (verb),ワタス
保存,preservation,ホゾン
適正な,appropriate (adj),テキセイナ
適正,appropriateness,テキセイ
建てる,to build (verb),タテル
継続する,to continue (verb),ケイゾクスル
もん,gate,モン
急な,sudden (adj),キュウナ
急,urgent,キュウ
成立する,to be established (verb),セイリツスル
実行する,to execute (verb),ジッコウスル
通知,notification,ツウチ
市長,mayor,シチョウ
甘い,sweet (adj),アマイ
証券,securities,ショウケン
助ける,to help (verb),タスケル
連れる,to take along (verb),ツレル
復興,reconstruction,フッコウ
スペース,space,スペース
施策,measure,シサク
性能,performance,セイノウ
人数,number of people,ニンズウ
素敵な,wonderful (adj),ステキナ
素敵,wonderful,ステキ
床,floor,ユカ
ウイルス,virus,ウィルス
形成,formation,ケイセイ
刺激,stimulus,シゲキ
シリーズ,series,シリーズ
仕様,specification,シヨウ
エリア,area,エリア
向く,to face (verb),ムク
報酬,reward,ホウシュウ
教会,church,キョウカイ
泣く,to cry (verb),ナク
州,state,シュウ
肩,shoulder,カタ
主張,claim,シュチョウ
亡くなる,to die (verb),ナクナル
足りる,to be enough (verb),タリル
減らす,to reduce (verb),ヘラス
退職,retirement,タイショク
分かり,understanding,ワカリ
歌う,to sing (verb),ウタウ
腕,arm,ウデ
出来事,event,デキゴト
感想,impression,カンソウ
容易な,easy (adj),ヨウイナ
容易,ease,ヨウイ
付近, Nearby,フキン
